GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_MOE_VC16,"Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 2 workers, other"
HC01_EST_VC17,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked"
HC01_MOE_VC17,"Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked"
HC02_EST_VC17,"Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked"
HC02_MOE_VC17,"Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, husband and wife worked"
HC01_EST_VC18,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other"
HC01_MOE_VC18,"Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other"
HC02_EST_VC18,"Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other"
HC02_MOE_VC18,"Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - 3 or more workers, other"
HC01_EST_VC22,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
HC01_MOE_VC22,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
HC02_EST_VC22,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
HC02_MOE_VC22,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population
HC01_EST_VC24,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White
HC01_MOE_VC24,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White
HC02_EST_VC24,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White
HC02_MOE_VC24,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - White
HC01_EST_VC25,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American
HC01_MOE_VC25,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American
HC02_EST_VC25,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American
HC02_MOE_VC25,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Black or African American
HC01_EST_VC26,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native
HC01_MOE_VC26,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native
HC02_EST_VC26,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native
HC02_MOE_VC26,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - American Indian and Alaska Native
HC01_EST_VC27,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian
HC01_MOE_VC27,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian
HC02_EST_VC27,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian
HC02_MOE_VC27,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Asian
HC01_EST_VC28,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC28,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander
HC02_EST_VC28,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC28,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Native Hawaiian and Other Pacific Islander
HC01_EST_VC29,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race
HC01_MOE_VC29,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race
HC02_EST_VC29,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race
HC02_MOE_VC29,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - One race-- - Some other race
HC01_EST_VC30,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC30,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC30,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC30,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC32,Total; Estimate; Hispanic or Latino origin (of any race)
HC01_MOE_VC32,Total; Margin of Error; Hispanic or Latino origin (of any race)
HC02_EST_VC32,Mean income (dollars); Estimate; Hispanic or Latino origin (of any race)
HC02_MOE_VC32,Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race)
HC01_EST_VC33,"Total; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC33,"Total; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC33,"Mean income (dollars); Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC33,"Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC36,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months
HC01_MOE_VC36,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months
HC02_EST_VC36,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months
HC02_MOE_VC36,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months
HC01_EST_VC37,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months
HC01_MOE_VC37,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months
HC02_EST_VC37,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months
HC02_MOE_VC37,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months
HC01_EST_VC38,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months
HC01_MOE_VC38,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
HC02_EST_VC38,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months
HC02_MOE_VC38,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
